,DATE,Profil,Région,Total énergie soutirée (Wh),Nb points soutirage
252,2022-04-10,RES1 (+ RES1WE),Centre-Val de Loire,3254306751.0,23010972
253,2022-04-10,RES1 (+ RES1WE),Hauts-de-France,9028032531.0,59291688
254,2022-04-10,RES11 (+ RES11WE),Centre-Val de Loire,2750871844.0,6859992
255,2022-04-10,RES11 (+ RES11WE),Hauts-de-France,3529627631.0,8882092
256,2022-04-10,RES2 (+ RES5),Centre-Val de Loire,14134680450.0,28844243
257,2022-04-10,RES2 (+ RES5),Hauts-de-France,23962919686.0,56276660
258,2022-04-10,RES2WE,Centre-Val de Loire,272477832.0,528144
259,2022-04-10,RES2WE,Hauts-de-France,609343220.0,1310644
260,2022-04-10,RES3,Centre-Val de Loire,227012987.0,431760
261,2022-04-10,RES3,Hauts-de-France,368380334.0,693980
262,2022-04-10,RES4,Centre-Val de Loire,429235872.0,990432
263,2022-04-10,RES4,Hauts-de-France,586080889.0,1303248
264,2022-04-11,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,79086356.0,42960
265,2022-04-11,ENT3 (+ ENT4 + ENT5),Hauts-de-France,92990548.0,41376
266,2022-04-11,PRO1 (+ PRO1WE),Centre-Val de Loire,1878494888.0,4813128
267,2022-04-11,PRO1 (+ PRO1WE),Hauts-de-France,4037009356.0,9264240
268,2022-04-11,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1632942113.0,1965896
269,2022-04-11,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3141620781.0,3537704
270,2022-04-11,PRO3,Centre-Val de Loire,64565301.0,66240
271,2022-04-11,PRO3,Hauts-de-France,96452076.0,83040
272,2022-04-11,PRO4,Centre-Val de Loire,66253380.0,113376
273,2022-04-11,PRO4,Hauts-de-France,93172065.0,118748
274,2022-04-11,PRO5,Centre-Val de Loire,380948713.0,1211952
275,2022-04-11,PRO5,Hauts-de-France,1017775244.0,1989932
276,2022-04-11,RES1 (+ RES1WE),Centre-Val de Loire,2961429210.0,23013408
277,2022-04-11,RES1 (+ RES1WE),Hauts-de-France,8228633919.0,59295224
278,2022-04-11,RES11 (+ RES11WE),Centre-Val de Loire,2403638747.0,6861380
279,2022-04-11,RES11 (+ RES11WE),Hauts-de-France,3090757929.0,8885148
280,2022-04-11,RES2 (+ RES5),Centre-Val de Loire,11963298427.0,28845371
281,2022-04-11,RES2 (+ RES5),Hauts-de-France,20339389542.0,56280156
282,2022-04-11,RES2WE,Centre-Val de Loire,198642351.0,528160
283,2022-04-11,RES2WE,Hauts-de-France,448884655.0,1310124
284,2022-04-11,RES3,Centre-Val de Loire,198313721.0,431764
285,2022-04-11,RES3,Hauts-de-France,321575007.0,693936
286,2022-04-11,RES4,Centre-Val de Loire,367110388.0,990428
287,2022-04-11,RES4,Hauts-de-France,500062247.0,1303260
288,2022-04-12,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,78089744.0,42960
289,2022-04-12,ENT3 (+ ENT4 + ENT5),Hauts-de-France,92109400.0,41372
290,2022-04-12,PRO1 (+ PRO1WE),Centre-Val de Loire,1856359872.0,4814500
291,2022-04-12,PRO1 (+ PRO1WE),Hauts-de-France,3992263159.0,9264340
292,2022-04-12,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1625989971.0,1965956
293,2022-04-12,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3123255803.0,3537756
294,2022-04-12,PRO3,Centre-Val de Loire,66269434.0,66236
295,2022-04-12,PRO3,Hauts-de-France,99299749.0,83036
296,2022-04-12,PRO4,Centre-Val de Loire,66243420.0,113376
297,2022-04-12,PRO4,Hauts-de-France,89886686.0,118704
298,2022-04-12,PRO5,Centre-Val de Loire,378887070.0,1211960
299,2022-04-12,PRO5,Hauts-de-France,1013164346.0,1989892
300,2022-04-12,RES1 (+ RES1WE),Centre-Val de Loire,2819595506.0,23009600
301,2022-04-12,RES1 (+ RES1WE),Hauts-de-France,7851344099.0,59290864
302,2022-04-12,RES11 (+ RES11WE),Centre-Val de Loire,2161539142.0,6862304
303,2022-04-12,RES11 (+ RES11WE),Hauts-de-France,2787964637.0,8886576
304,2022-04-12,RES2 (+ RES5),Centre-Val de Loire,10365417961.0,28841591
305,2022-04-12,RES2 (+ RES5),Hauts-de-France,17690515793.0,56275212
306,2022-04-12,RES2WE,Centre-Val de Loire,163592382.0,528460
307,2022-04-12,RES2WE,Hauts-de-France,369976580.0,1309856
308,2022-04-12,RES3,Centre-Val de Loire,179788403.0,431824
309,2022-04-12,RES3,Hauts-de-France,291440687.0,693936
310,2022-04-12,RES4,Centre-Val de Loire,320896878.0,990376
311,2022-04-12,RES4,Hauts-de-France,435763844.0,1303380
312,2022-04-13,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,77949180.0,42960
313,2022-04-13,ENT3 (+ ENT4 + ENT5),Hauts-de-France,91845372.0,41328
314,2022-04-13,PRO1 (+ PRO1WE),Centre-Val de Loire,1800980111.0,4815164
315,2022-04-13,PRO1 (+ PRO1WE),Hauts-de-France,3877073221.0,9265424
316,2022-04-13,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1585509945.0,1965620
317,2022-04-13,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3051062161.0,3537392
318,2022-04-13,PRO3,Centre-Val de Loire,65782664.0,66188
319,2022-04-13,PRO3,Hauts-de-France,98684172.0,82992
320,2022-04-13,PRO4,Centre-Val de Loire,66304713.0,113368
321,2022-04-13,PRO4,Hauts-de-France,89631007.0,118704
322,2022-04-13,PRO5,Centre-Val de Loire,376737924.0,1212056
323,2022-04-13,PRO5,Hauts-de-France,1008421558.0,1989940
324,2022-04-13,RES1 (+ RES1WE),Centre-Val de Loire,2829145004.0,23008444
325,2022-04-13,RES1 (+ RES1WE),Hauts-de-France,7882717573.0,59294388
326,2022-04-13,RES11 (+ RES11WE),Centre-Val de Loire,2114155315.0,6864416
327,2022-04-13,RES11 (+ RES11WE),Hauts-de-France,2724711468.0,8889388
328,2022-04-13,RES2 (+ RES5),Centre-Val de Loire,9989939667.0,28839063
329,2022-04-13,RES2 (+ RES5),Hauts-de-France,17081997590.0,56271504
330,2022-04-13,RES2WE,Centre-Val de Loire,154739351.0,529880
331,2022-04-13,RES2WE,Hauts-de-France,349509675.0,1311424
332,2022-04-13,RES3,Centre-Val de Loire,175267618.0,431992
333,2022-04-13,RES3,Hauts-de-France,282970548.0,693940
